NO,Nilai,Kurs Jual,Kurs Beli,Tanggal,kurs_tengah,log_return
1095,1,14452.91,14309.1,2022-01-31,14381.005000000001,-0.00027810600258992493
1094,1,14463.96,14320.04,2022-02-02,14392.0,0.00076425806308172
1093,1,14418.74,14275.27,2022-02-03,14347.005000000001,-0.0031312870271258484
1092,1,14452.91,14309.1,2022-02-04,14381.005000000001,0.0023670289640440293
1091,1,14447.88,14304.12,2022-02-07,14376.0,-0.00034808910389224615
1090,1,14476.02,14331.98,2022-02-08,14404.0,0.0019457963053708047
1089,1,14456.93,14313.08,2022-02-09,14385.005000000001,-0.0013196011988886864
1088,1,14437.83,14294.17,2022-02-10,14366.0,-0.0013220409351302
1087,1,14415.72,14272.28,2022-02-11,14344.0,-0.0015325673497781163
1086,1,14430.8,14287.21,2022-02-14,14359.005,0.0010455352230113373
1085,1,14409.69,14266.31,2022-02-15,14338.0,-0.0014639160951625187
1084,1,14363.46,14220.54,2022-02-16,14292.0,-0.003213415269517138
1083,1,14349.39,14206.61,2022-02-17,14278.0,-0.0009800490808945848
1082,1,14372.51,14229.5,2022-02-18,14301.005000000001,0.0016099234363687656
1081,1,14410.7,14267.31,2022-02-21,14339.005000000001,0.002653631915555245
1080,1,14400.65,14257.36,2022-02-22,14329.005000000001,-0.0006976417550842419
1079,1,14433.81,14290.19,2022-02-23,14362.0,0.0023000250110171943
1078,1,14426.78,14283.23,2022-02-24,14355.005000000001,-0.0004871678044659422
1077,1,14442.86,14299.15,2022-02-25,14371.005000000001,0.001113973131289886
1076,1,14440.85,14297.16,2022-03-01,14369.005000000001,-0.0001391787966133783
1075,1,14421.75,14278.25,2022-03-02,14350.0,-0.0013235140127062
1074,1,14444.87,14301.14,2022-03-04,14373.005000000001,0.001601852237891089
1073,1,14454.92,14311.09,2022-03-07,14383.005000000001,0.0006955068107923781
1072,1,14483.06,14338.95,2022-03-08,14411.005000000001,0.0019448495590362559
1071,1,14465.97,14322.03,2022-03-09,14394.0,-0.001180697727737356
1070,1,14442.86,14299.15,2022-03-10,14371.005000000001,-0.0015988180706628682
1069,1,14369.49,14226.51,2022-03-11,14298.0,-0.0050929676702895655
1068,1,14377.53,14234.47,2022-03-14,14306.0,0.0005593623415319996
1067,1,14399.64,14256.36,2022-03-15,14328.0,0.0015366350722185952
1066,1,14392.61,14249.4,2022-03-16,14321.005000000001,-0.0004883241242760151
1065,1,14382.56,14239.45,2022-03-17,14311.005000000001,-0.0006985189238623216
1064,1,14361.45,14218.55,2022-03-18,14290.0,-0.0014688297684963634
1063,1,14411.7,14268.3,2022-03-21,14340.0,0.003492843229698169
1062,1,14412.71,14269.3,2022-03-22,14341.005,7.008122626172215e-05
1061,1,14429.79,14286.21,2022-03-23,14358.0,0.001184361756555111
1060,1,14422.76,14279.25,2022-03-24,14351.005000000001,-0.00048730355778062043
1059,1,14432.81,14289.2,2022-03-25,14361.005000000001,0.0006965726470799921
1058,1,14412.71,14269.3,2022-03-28,14341.005,-0.0013936308458546323
1057,1,14431.8,14288.2,2022-03-29,14360.0,0.0013236472223420307
1056,1,14435.82,14292.18,2022-03-30,14364.0,0.0002785127437582336
1055,1,14420.75,14277.26,2022-03-31,14349.005000000001,-0.0010444745412891176
1054,1,14428.79,14285.22,2022-04-01,14357.005000000001,0.000557374585120801
1053,1,14435.82,14292.18,2022-04-04,14364.0,0.00048709995616837815
1052,1,14433.81,14290.19,2022-04-05,14362.0,-0.00013924667571059022
1051,1,14419.74,14276.26,2022-04-06,14348.0,-0.0009752700180896297
1050,1,14435.82,14292.18,2022-04-07,14364.0,0.0011145166938001574
1049,1,14430.8,14287.21,2022-04-08,14359.005,-0.000347804837993401
1048,1,14436.83,14293.18,2022-04-11,14365.005000000001,0.000417768973570672
1047,1,14441.85,14298.15,2022-04-12,14370.0,0.00034765959151974426
1046,1,14435.82,14292.18,2022-04-13,14364.0,-0.00041762372709714903
1045,1,14430.8,14287.21,2022-04-14,14359.005,-0.000347804837993401
1044,1,14420.75,14277.26,2022-04-18,14349.005000000001,-0.0006966697032957591
1043,1,14427.78,14284.22,2022-04-19,14356.0,0.0004873714628135116
1042,1,14418.74,14275.27,2022-04-20,14347.005000000001,-0.0006267636642546968
1041,1,14422.76,14279.25,2022-04-21,14351.005000000001,0.0002787649754044673
1040,1,14419.74,14276.26,2022-04-22,14348.0,-0.0002094149264744919
1039,1,14432.81,14289.2,2022-04-25,14361.005000000001,0.0009059875735544736
1038,1,14524.26,14379.74,2022-04-26,14452.0,0.006316266041803098
1037,1,14484.06,14339.94,2022-04-27,14412.0,-0.002771620399547022
1036,1,14490.09,14345.91,2022-04-28,14418.0,0.000416233096540073
1035,1,14552.4,14407.6,2022-05-09,14480.0,0.004290960975183358
1034,1,14606.67,14461.33,2022-05-10,14534.0,0.003722345236873773
1033,1,14618.73,14473.27,2022-05-11,14546.0,0.0008253095379047395
1032,1,14618.73,14473.27,2022-05-12,14546.0,0.0
1031,1,14657.93,14512.08,2022-05-13,14585.005000000001,0.0026779044052408067
1030,1,14692.1,14545.91,2022-05-17,14619.005000000001,0.002328448412488818
1029,1,14724.26,14577.75,2022-05-18,14651.005000000001,0.002186539242672597
1028,1,14755.41,14608.59,2022-05-19,14682.0,0.002113319895838483
1027,1,14804.66,14657.35,2022-05-20,14731.005000000001,0.003332202564424292
1026,1,14734.31,14587.7,2022-05-23,14661.005000000001,-0.004763208256087808
1025,1,14738.33,14591.68,2022-05-24,14665.005000000001,0.0002727953802652748
1024,1,14726.27,14579.74,2022-05-25,14653.005000000001,-0.0008186094943089016
1023,1,14718.23,14571.78,2022-05-27,14645.005000000001,-0.0005461121897920854
1022,1,14650.89,14505.11,2022-05-30,14578.0,-0.004585778733069047
1021,1,14616.72,14471.28,2022-05-31,14544.0,-0.0023350055248981994
1020,1,14664.96,14519.04,2022-06-02,14592.0,0.0032948958968524846
1019,1,14598.63,14453.37,2022-06-03,14526.0,-0.004533286147999155
1018,1,14503.16,14358.85,2022-06-06,14431.005000000001,-0.006561130253760038
1017,1,14534.31,14389.69,2022-06-07,14462.0,0.0021455028225437563
1016,1,14536.32,14391.68,2022-06-08,14464.0,0.00013828389706046715
1015,1,14549.39,14404.62,2022-06-09,14477.005000000001,0.0008987248974493812
1014,1,14627.78,14482.23,2022-06-10,14555.005000000001,0.0053733921748196955
1013,1,14641.85,14496.16,2022-06-13,14569.005000000001,0.0009614061441642702
1012,1,14745.36,14598.64,2022-06-14,14672.0,0.0070445886478550795
1011,1,14802.65,14655.36,2022-06-15,14729.005000000001,0.0038777634595983717
1010,1,14819.73,14672.27,2022-06-16,14746.0,0.00115318059375151
1009,1,14814.71,14667.3,2022-06-17,14741.005,-0.00033879331236103325
1008,1,14902.14,14753.86,2022-06-20,14828.0,0.005884219033387941
1007,1,14910.18,14761.82,2022-06-21,14836.0,0.0005393743388585531
1006,1,14878.02,14729.98,2022-06-22,14804.0,-0.0021592451034348637
1005,1,14934.3,14785.7,2022-06-23,14860.0,0.0037756247657036736
1004,1,14909.18,14760.83,2022-06-24,14835.005000000001,-0.0016834485061028087
1003,1,14920.23,14771.77,2022-06-27,14846.0,0.0007408779118449747
1002,1,14876.01,14727.99,2022-06-28,14802.0,-0.002968161920080536
1001,1,14911.19,14762.82,2022-06-29,14837.005000000001,0.002362091188674698
1000,1,14922.24,14773.76,2022-06-30,14848.0,0.0007407780798953774
999,1,14956.41,14807.59,2022-07-01,14882.0,0.0022872529312248074
998,1,15030.78,14881.22,2022-07-04,14956.0,0.004960128139797819
997,1,15034.8,14885.2,2022-07-05,14960.0,0.00026741543146380003
996,1,15064.95,14915.05,2022-07-06,14990.0,0.002003339568175104
995,1,15090.08,14939.93,2022-07-07,15015.005000000001,0.0016667223210649622
994,1,15060.93,14911.07,2022-07-08,14986.0,-0.0019336024934522278
